interaction_id,user_id,entity_type,entity_id,interaction_type,occurred_at,dwell_seconds,position_in_list,query_text,query_language,channel,session_id,implicit_rating
uix_fe4683a0,usr_c75aefa2,poi,poi_566ecbdf,search,2025-08-19T15:30:00+05:30,,,street food tour in the evening,ta,mobile_app,ses_d9d9190cad4a,0.11
uix_42ac6610,usr_c75aefa2,poi,poi_facb346b,like,2026-01-31T20:15:00+05:30,,,,,mobile_app,ses_28be556435c2,0.8
uix_b46d5005,usr_c75aefa2,poi,poi_2100d6d3,view,2026-08-11T23:30:00+05:30,28,13,,,mobile_app,ses_645489df2227,
uix_4868a149,usr_c75aefa2,hotel,htl_1fc52e5d,view,2026-07-06T01:30:00+05:30,134,9,,,mobile_app,ses_dd2339b8be2c,0.37
uix_215ce974,usr_c75aefa2,poi,poi_003678b5,search,2025-11-12T16:45:00+05:30,,,wildlife day trip under 3000,ta,mobile_app,ses_33b5c81724d9,
uix_7b46fc1f,usr_c75aefa2,poi,poi_c5ec38ec,dismiss,2026-07-18T04:30:00+05:30,,,,,mobile_app,ses_6d91ade7df7c,-0.51
uix_a341d109,usr_c75aefa2,hotel,htl_64d03366,view,2026-02-28T14:45:00+05:30,11,7,,,mobile_app,ses_6b2aed660f27,
uix_86973dcd,usr_c75aefa2,poi,poi_635f25bf,search,2025-08-04T08:30:00+05:30,,,family hotel with a kids pool,hi,web,ses_7aa05f1652d4,
uix_4a96f3f5,usr_c75aefa2,poi,poi_448dd95a,like,2026-08-06T17:00:00+05:30,,,,,web,ses_ae4381f06f5f,0.81
uix_f48c0527,usr_c75aefa2,poi,poi_aeffb89e,like,2025-09-23T09:00:00+05:30,,,,,mobile_app,ses_81b32b76f8c8,0.85
uix_b525bb3c,usr_f855344d,poi,poi_60c9ded0,view,2025-11-07T02:00:00+05:30,15,23,,,mobile_app,ses_6e04b8a52865,
uix_4b611c8b,usr_f855344d,poi,poi_6949e353,like,2025-09-30T14:30:00+05:30,,,,,mobile_app,ses_916ea9966715,0.71
uix_46db521a,usr_f855344d,poi,poi_efb828ad,book,2025-12-07T11:30:00+05:30,,,,,mobile_app,ses_aa426508957b,1.03
uix_c5eec432,usr_f855344d,poi,poi_3383cc81,like,2026-08-07T19:15:00+05:30,,,,,mobile_app,ses_802cba8ece67,0.77
uix_23cd3034,usr_f855344d,poi,poi_ee320088,search,2026-07-03T20:30:00+05:30,,,vegetarian friendly place near the temple,en-IN,web,ses_4f1b0e58423c,0.04
uix_5004a774,usr_f855344d,poi,poi_889f4e87,click,2025-07-20T03:30:00+05:30,,1,,,mobile_app,ses_93f0cc0a4284,0.43
uix_05d412ae,usr_f855344d,poi,poi_d5409022,view,2026-05-12T07:15:00+05:30,23,12,,,mobile_app,ses_0714817123af,0.29
uix_6f502349,usr_f855344d,hotel,htl_de3e4a9f,like,2025-09-08T03:30:00+05:30,,,,,mobile_app,ses_fbf1eec0b269,0.84
uix_5b570680,usr_f855344d,hotel,htl_9c129ce4,view,2026-02-19T20:30:00+05:30,17,4,,,web,ses_751df2308a60,0.25
