proposal_id,itinerary_id,proposed_by_user_id,action,target_item_id,entity_type,entity_id,title,rationale,cost_delta,currency,closes_at,status,created_at,updated_at
prp_305baa83,itn_d44baf61,usr_a2b35cea,remove,itm_f431b244,poi,poi_48787ec6,Remove: Zipline Point,"Opens at six, so it works before the train.",3195.00,LKR,2026-08-20T10:00:00+05:30,accepted,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_dbf8ae51,itn_5425528a,usr_428c2df2,remove,itm_02a33b7b,poi,poi_eafd4622,Remove: Ayurveda Centre,,900.00,INR,2026-08-24T10:00:00+05:30,expired,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_824e46ea,itn_d904cde6,usr_2a348485,add,,poi,poi_56fd62aa,Add: Aurangabad Lake,Two of us have already seen the original.,350.00,INR,2026-08-17T10:00:00+05:30,expired,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_98d84b75,itn_45da5934,usr_ea479c41,add,,poi,poi_bba10c21,Add: Spice Market Walk,,900.00,INR,2026-08-25T10:00:00+05:30,rejected,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c8e37f83,itn_6f3cef43,usr_f7512c22,replace,itm_e52a6deb,poi,poi_2f03bafe,Replace: Yoga Shala,The forecast is bad that afternoon.,-1200.00,INR,2026-08-04T10:00:00+05:30,rejected,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_da9e7f13,itn_c6ded382,usr_20caee9e,remove,itm_8b027dde,poi,poi_bfc63913,Remove: Handloom Cooperative,The forecast is bad that afternoon.,0.00,CHF,2026-08-15T10:00:00+05:30,expired,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_7c0b967d,itn_5dea5818,usr_8317ab30,reschedule,itm_069eb710,poi,poi_e7c57ffd,Reschedule: Paragliding Launch,Cheaper and closer to where we are staying that morning.,-1200.00,INR,2026-08-27T10:00:00+05:30,expired,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_8bb23f39,itn_21ea5a32,usr_66a4a013,replace,itm_49677a0d,poi,poi_5b490311,Replace: Alleppey Bazaar,Cheaper and closer to where we are staying that morning.,560.00,NPR,2026-08-06T10:00:00+05:30,open,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c6377deb,itn_08a6037f,usr_22e61dad,replace,itm_400b3652,poi,poi_9418fe97,Replace: Gokarna Bird Sanctuary,Two of us have already seen the original.,0.00,INR,2026-08-04T10:00:00+05:30,rejected,2026-07-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_77298e76,itn_741c2484,usr_a386ca28,add,,poi,poi_3ff2e625,Add: Crocodile Park,,900.00,INR,2026-08-02T10:00:00+05:30,rejected,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_1a1d886a,itn_bbcd0e40,usr_dc032205,remove,itm_625bf7f2,poi,poi_89dfcf7d,Remove: Kayaking at Gangtok,Two of us have already seen the original.,900.00,INR,2026-08-23T10:00:00+05:30,open,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_d6083a59,itn_454eb563,usr_2e38cf37,replace,itm_01e27f36,poi,poi_60c9ded0,Replace: Lucknow Bird Sanctuary,The forecast is bad that afternoon.,-400.00,INR,2026-08-15T10:00:00+05:30,open,2026-07-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_32d47e22,itn_6f9bf227,usr_8e89346c,add,,poi,poi_7b08d755,Add: Elephant Camp,"Opens at six, so it works before the train.",-400.00,INR,2026-08-10T10:00:00+05:30,open,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_b3490015,itn_ad0d1ef4,usr_4022bd9b,remove,itm_e30980b1,poi,poi_892c58e8,Remove: Handloom Cooperative,Cheaper and closer to where we are staying that morning.,-640.00,NPR,2026-08-21T10:00:00+05:30,open,2026-07-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c67bcdd1,itn_0826ba64,usr_596ee95d,replace,itm_97a62ede,poi,poi_697e3901,Replace: Crocodile Park,,900.00,INR,2026-08-23T10:00:00+05:30,rejected,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_9ff13121,itn_0edc6018,usr_08b8f8e9,add,,poi,poi_22445cd1,Add: Blue Pottery Workshop,,-1200.00,INR,2026-08-03T10:00:00+05:30,open,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f4660efd,itn_720b282c,usr_99bd0088,replace,itm_909147aa,poi,poi_080ec099,Replace: Hilltop Shrine,Cheaper and closer to where we are staying that morning.,-4260.00,LKR,2026-08-04T10:00:00+05:30,open,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_e7e91082,itn_b7e54d98,usr_47f43984,replace,itm_0ae634e2,poi,poi_b6329778,Replace: Hilltop Shrine,,2400.00,INR,2026-07-29T10:00:00+05:30,open,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_af53747c,itn_262d7fe7,usr_42dc4da4,add,,poi,poi_b95f08bb,Add: Mysuru Stepwell,"Opens at six, so it works before the train.",2400.00,INR,2026-08-26T10:00:00+05:30,open,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_fcf2312b,itn_6dc9eb1f,usr_3c3ae758,reschedule,itm_a40e0701,poi,poi_26b74a30,Reschedule: Elephant Camp,,-400.00,INR,2026-08-12T10:00:00+05:30,open,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_592949dc,itn_ca496f4a,usr_5307f01f,add,,poi,poi_1559dff8,Add: Riverside Lounge,The forecast is bad that afternoon.,2400.00,INR,2026-08-09T10:00:00+05:30,rejected,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_7de0a76f,itn_1aa579f2,usr_2740f754,replace,itm_04a3398b,poi,poi_caa6c359,Replace: Riverside Lounge,,350.00,INR,2026-08-10T10:00:00+05:30,rejected,2026-07-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_f4dc57a2,itn_5f9320d3,usr_2109396c,remove,itm_cad5e9ed,poi,poi_3cd58d03,Remove: Botanical Gardens,The forecast is bad that afternoon.,0.00,SGD,2026-08-02T10:00:00+05:30,rejected,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_14b31891,itn_bf68ccd3,usr_6e20f92e,replace,itm_288e8e63,poi,poi_9b3237a3,Replace: Butterfly Reserve,Two of us have already seen the original.,-400.00,INR,2026-08-12T10:00:00+05:30,rejected,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_dcd3c878,itn_81614ab4,usr_7dc3ba48,replace,itm_f384534f,poi,poi_4c0e8968,Replace: Hot Air Balloon Field,,0.00,INR,2026-08-20T10:00:00+05:30,open,2026-07-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_ae45684e,itn_c91cc237,usr_580a5fe8,add,,poi,poi_da4f49cf,Add: Hot Springs,,900.00,INR,2026-08-02T10:00:00+05:30,rejected,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_caedb77d,itn_86756c0a,usr_756ce6b3,replace,itm_16b2a1a7,poi,poi_2254e322,Replace: Spice Market Walk,,-4.20,CHF,2026-08-10T10:00:00+05:30,rejected,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_589cc2f8,itn_faf14c24,usr_ab2353de,replace,itm_2cb9ff29,poi,poi_e66efa5a,Replace: Rooftop Live Music,,0.00,INR,2026-08-01T10:00:00+05:30,open,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_e8c57e7c,itn_82ff8a76,usr_d4aeb337,replace,itm_46ae3e17,poi,poi_53bf0d16,Replace: Handloom Cooperative,,-234000.00,IDR,2026-08-07T10:00:00+05:30,expired,2026-07-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_fdc42773,itn_05200341,usr_399971ee,remove,itm_b510fee1,poi,poi_dde08770,Remove: Riverside Lounge,,-400.00,INR,2026-08-06T10:00:00+05:30,rejected,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_099ca109,itn_e02c855f,usr_37079a82,reschedule,itm_7d6c8ca6,poi,poi_5c2d2dd5,Reschedule: North Beach,Cheaper and closer to where we are staying that morning.,350.00,INR,2026-08-25T10:00:00+05:30,open,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_a6c2d45f,itn_451721c1,usr_8b3ba681,reschedule,itm_de33dfc2,poi,poi_0893c875,Reschedule: Maritime Museum,"Opens at six, so it works before the train.",0.00,SGD,2026-07-31T10:00:00+05:30,expired,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_7603c5a1,itn_16c7eede,usr_3d1b88d6,remove,itm_0e4f47e8,poi,poi_d30698db,Remove: Museum of Coins,,0.00,INR,2026-08-17T10:00:00+05:30,accepted,2026-07-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
prp_c7b6dfb1,itn_23e8bf2b,usr_ab2353de,reschedule,itm_c9f51d4c,poi,poi_f0480ca4,Reschedule: Tea Estate Trail,,900.00,INR,2026-08-03T10:00:00+05:30,accepted,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
