member_id,trip_id,user_id,role,joined_at,share_weight,invited_by_user_id,status,updated_at
tmb_88960f1d,trp_dba33c33,usr_b5327682,owner,2026-03-31T10:00:00+05:30,1,,active,2026-08-18T10:00:00+05:30
tmb_fd62a99f,trp_dba33c33,usr_bc9d20fa,editor,2026-03-28T10:00:00+05:30,0.5,usr_b5327682,active,2026-08-18T10:00:00+05:30
tmb_d6619551,trp_dba33c33,usr_0f11ccce,editor,2026-08-12T10:00:00+05:30,1,usr_b5327682,active,2026-08-18T10:00:00+05:30
tmb_07d81e1c,trp_dba33c33,usr_d3cf0a5d,editor,2026-07-07T10:00:00+05:30,2,usr_b5327682,active,2026-08-18T10:00:00+05:30
tmb_f337caaf,trp_c183d169,usr_ecb18174,owner,2026-06-29T10:00:00+05:30,1,,active,2026-08-18T10:00:00+05:30
tmb_aa775b67,trp_c183d169,usr_3d1b88d6,editor,2026-08-12T10:00:00+05:30,1,usr_ecb18174,active,2026-08-18T10:00:00+05:30
tmb_6f7c30f9,trp_c183d169,usr_aebfb5b6,editor,2026-04-08T10:00:00+05:30,1,usr_ecb18174,active,2026-08-18T10:00:00+05:30
tmb_ae128388,trp_c183d169,usr_13fe39d3,viewer,2026-04-22T10:00:00+05:30,2,usr_ecb18174,active,2026-08-18T10:00:00+05:30
tmb_f5267450,trp_c183d169,usr_53cbafa7,editor,2026-06-09T10:00:00+05:30,1,usr_ecb18174,active,2026-08-18T10:00:00+05:30
tmb_f401f72f,trp_c183d169,usr_03840a57,viewer,2026-05-06T10:00:00+05:30,2,usr_ecb18174,active,2026-08-18T10:00:00+05:30
tmb_66f11551,trp_5c81e163,usr_18260fc4,owner,2026-04-01T10:00:00+05:30,1,,active,2026-08-18T10:00:00+05:30
tmb_263e2004,trp_13423f49,usr_5de9da21,owner,2026-07-06T10:00:00+05:30,1,,active,2026-08-18T10:00:00+05:30
tmb_6dfcfcc2,trp_13423f49,usr_0f45cfd7,editor,2026-04-12T10:00:00+05:30,0.5,usr_5de9da21,active,2026-08-18T10:00:00+05:30
tmb_271e987c,trp_13423f49,usr_fbf7ac58,viewer,2026-05-11T10:00:00+05:30,1,usr_5de9da21,active,2026-08-18T10:00:00+05:30
tmb_f0270d68,trp_13423f49,usr_3393c7a2,editor,2026-06-13T10:00:00+05:30,1,usr_5de9da21,active,2026-08-18T10:00:00+05:30
tmb_944b4097,trp_13423f49,usr_9793e551,editor,2026-05-11T10:00:00+05:30,1,usr_5de9da21,active,2026-08-18T10:00:00+05:30
tmb_cf357210,trp_13423f49,usr_c426b4e1,viewer,2026-03-03T10:00:00+05:30,2,usr_5de9da21,active,2026-08-18T10:00:00+05:30
tmb_cda866f4,trp_d0565c09,usr_65b43f7e,owner,2026-06-20T10:00:00+05:30,1,,active,2026-08-18T10:00:00+05:30
tmb_855efbb1,trp_d0565c09,usr_e2ca58e8,editor,2026-03-27T10:00:00+05:30,1,usr_65b43f7e,active,2026-08-18T10:00:00+05:30
tmb_5d5166c9,trp_d0565c09,usr_ede8042e,viewer,2026-07-05T10:00:00+05:30,1,usr_65b43f7e,active,2026-08-18T10:00:00+05:30
tmb_913dce6e,trp_d0565c09,usr_3e25dcc6,editor,2026-06-14T10:00:00+05:30,0.5,usr_65b43f7e,active,2026-08-18T10:00:00+05:30
tmb_113190a5,trp_d0565c09,usr_81dbf021,viewer,2026-06-01T10:00:00+05:30,1,usr_65b43f7e,inactive,2026-08-18T10:00:00+05:30
tmb_b1a00508,trp_929cc01b,usr_df582802,owner,2026-04-05T10:00:00+05:30,1,,active,2026-08-18T10:00:00+05:30
tmb_c7dfb9d2,trp_929cc01b,usr_e4980687,editor,2026-03-14T10:00:00+05:30,1,usr_df582802,active,2026-08-18T10:00:00+05:30
