vote_id,proposal_id,user_id,value,weight,comment,cast_at,updated_at
vot_3ba98d06,prp_305baa83,usr_dbcf6091,abstain,1,,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0f8dbdb4,prp_305baa83,usr_5d83e59a,yes,1.5,,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_bfdf275a,prp_dbf8ae51,usr_e0853a17,no,1.5,,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_3bfed619,prp_dbf8ae51,usr_428c2df2,yes,1,,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8908009e,prp_824e46ea,usr_2a348485,yes,1,Fine either way.,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e8415a3c,prp_824e46ea,usr_b86dd891,abstain,1,,2026-08-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_75394765,prp_98d84b75,usr_2fcc58dc,yes,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_11ed8bea,prp_98d84b75,usr_fa7951d2,abstain,1,Fine either way.,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_bd0d6e7b,prp_98d84b75,usr_ea479c41,abstain,1,,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c34f2aac,prp_c8e37f83,usr_0a31df91,no,1.5,No — too far.,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_054b6f4e,prp_c8e37f83,usr_f7512c22,yes,1,,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_422b3e36,prp_da9e7f13,usr_c010ce3c,yes,1,Only if we skip the museum.,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e61a774b,prp_da9e7f13,usr_373b76a9,yes,1.5,Fine either way.,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_b3da9047,prp_7c0b967d,usr_8317ab30,yes,1.5,Fine either way.,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_c94b137b,prp_7c0b967d,usr_7cb81b2c,yes,1.5,,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0b0cca51,prp_7c0b967d,usr_2209582f,abstain,1,,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8591385a,prp_7c0b967d,usr_b831f448,abstain,1,Fine either way.,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_03e2c479,prp_8bb23f39,usr_c25e06d9,no,1.5,,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_aa37e245,prp_8bb23f39,usr_7edfea3c,no,1.5,,2026-07-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0ebfd19e,prp_8bb23f39,usr_5307f01f,no,1.5,,2026-08-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f110c3e7,prp_8bb23f39,usr_66a4a013,yes,1,,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0267bf3d,prp_c6377deb,usr_6ae6b723,yes,1.5,,2026-08-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_833d2a75,prp_c6377deb,usr_3d92578a,abstain,1,No — too far.,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_74455003,prp_77298e76,usr_a386ca28,no,1,,2026-08-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_f89cca76,prp_77298e76,usr_bedf358a,abstain,1,Only if we skip the museum.,2026-07-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_51d45ba6,prp_1a1d886a,usr_dc032205,no,1,Fine either way.,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_be7a8e85,prp_1a1d886a,usr_a9008871,no,1,,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a8177c0e,prp_d6083a59,usr_8e272905,no,1,,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_b8976380,prp_d6083a59,usr_fd8f7b49,yes,1.5,,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8726913a,prp_d6083a59,usr_95bee04e,yes,1.5,No — too far.,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_fb234484,prp_32d47e22,usr_b204c453,no,1,,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_fbc41410,prp_32d47e22,usr_8e89346c,no,1,,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ba11ab07,prp_32d47e22,usr_e0440f90,no,1.5,Only if we skip the museum.,2026-08-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_67c717b1,prp_b3490015,usr_4022bd9b,yes,1,,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_ad30344e,prp_b3490015,usr_a0588479,yes,1,,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_e143338b,prp_c67bcdd1,usr_437596b5,abstain,1,,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_9d312751,prp_c67bcdd1,usr_5f1e6e1c,no,1,,2026-08-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_8b592526,prp_c67bcdd1,usr_810e7b81,no,1,,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_0b0e520d,prp_c67bcdd1,usr_596ee95d,yes,1,,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_4700ce1f,prp_9ff13121,usr_1a6892bf,abstain,1,,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_1c2a64a9,prp_9ff13121,usr_b1b8dc45,no,1,,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
vot_a258d656,prp_9ff13121,usr_96740172,yes,1,,2026-08-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
